Order ID,Order Date,Customer ID,Customer Name,Region,Product Category,Product Name,Quantity Sold,Unit Price,Discount (%),Salesperson,Payment Method,Order Status,Total Sales,Profit Margin,Month,Year,Total
576ca8db-ad1a-4aa8-9c3a-89102555f200,2019-01-01,48aa940a-5cb5-4103-8d89-19c10fd26aaf,Stephanie Garcia,South America,Home & Kitchen,Speak,9,484.46,21.33,Johnny Marshall,Debit Card,Returned,3430.12,1193.53,2019-01,2019,4360.139999999999
b7154d7e-f369-4a81-80b1-d36b23cc0420,2019-01-01,8de3545c-78e6-4962-ace5-02e37fe1ce91,Jacob Morales,South America,Books,If,10,179.28,6.43,Bradley Howe,Gift Card,Pending,1677.52,583.7,2019-01,2019,1792.8
b2852522-fbaa-43fa-b165-bd10e0035591,2019-01-02,6ac41f61-acf6-4e46-8b70-ad00ce01c9d0,John Carroll,North America,Sports,Big,6,185.34,1.57,Johnny Marshall,Amazon Pay,Completed,1094.58,380.86,2019-01,2019,1112.04
f14eae78-235f-4283-a2cc-6433fd861c14,2019-01-04,04bb6a6a-a62a-4e79-a038-68758f215ccc,Allison Ramirez,Asia,Home & Kitchen,Serious,5,40.98,4.21,Roger Brown,PayPal,Completed,196.27,68.29,2019-01,2019,204.89999999999998
c3fcb6f0-a399-47eb-8903-2a354425ea75,2019-01-04,2267ce03-37ba-446a-b279-17ecee550c6e,James Thompson,North America,Toys,Operation,10,459.39,20.5,Kristen Ramos,PayPal,Cancelled,3652.15,1270.78,2019-01,2019,4593.9
63a684cc-a4af-40b9-bae8-ac7924f7b4cc,2019-01-05,f6bc298e-749c-4dfa-8f64-ec9e02aeb021,Kirsten Reese,Asia,Beauty,Game,10,220.63,10.53,Steven Coleman,Amazon Pay,Cancelled,1973.98,686.86,2019-01,2019,2206.3
f5bbf818-b635-477e-8770-1decbf291623,2019-01-05,d2019210-5707-4c36-a4ca-98f10f130f64,Robert Stein,Europe,Beauty,Scientist,4,424.33,8.6,Sandra Luna,Credit Card,Completed,1551.35,539.8,2019-01,2019,1697.32
39d961f6-70f3-4245-acc9-c51c38dfef79,2019-01-05,fb7b780b-6cbf-4ffc-8b4e-6d05fa371898,Joshua Craig,Europe,Books,Eight,1,177.78,0.6,Caleb Camacho,PayPal,Pending,176.71,61.49,2019-01,2019,177.78
b552ef9e-6838-4ad5-a7f7-bd89031fe289,2019-01-07,bcfdaf4e-6485-4908-9738-a03b4c6b2dfd,Lisa Bauer,Asia,Sports,Stage,8,471.12,1.01,Adam Smith,PayPal,Returned,3730.89,1298.18,2019-01,2019,3768.96
bf2f5378-b913-4e7d-bb70-1ba8fd5104db,2019-01-08,a827ab62-199a-4e52-9b49-9e28bce6af24,Carlos Shaffer,Asia,Sports,Discuss,9,86.19,1.99,Steven Coleman,Gift Card,Cancelled,760.27,264.54,2019-01,2019,775.71
e0762c14-ec70-406d-8834-99330589bed8,2019-01-09,69254feb-e996-4d7e-b2ec-c65b1787e3d5,Valerie Lynch,South America,Toys,Return,5,394.15,3.69,Jason Nelson,Credit Card,Pending,1898.03,660.43,2019-01,2019,1970.75
4e0d446a-1f42-4e52-9a96-c1b5d55b9db3,2019-01-09,215bad3f-a307-4a9c-be98-f5c2482c9d50,Jonathan Webb,South America,Sports,Building,6,323.25,28.02,Christina Thompson,Amazon Pay,Completed,1396.05,485.76,2019-01,2019,1939.5
e055703f-736b-4951-8dd2-7087d36b1183,2019-01-10,3cdc9b64-df21-4dd8-8e23-b3234ca58bcf,Nathan Austin,Europe,Electronics,World,7,308.22,1.95,Jason Nelson,Amazon Pay,Pending,2115.47,736.09,2019-01,2019,2157.54
fc6a96fc-67ff-4db5-b53d-5332d3f28dcf,2019-01-11,411de139-1a24-49e9-9ecf-eb72ea555677,Jennifer Schmidt,Australia,Books,Catch,10,369.05,17.6,Roger Brown,Gift Card,Pending,3040.97,1058.12,2019-01,2019,3690.5
02c35801-cbba-4f42-baa1-d4b9981d56d3,2019-01-11,88618d4b-f428-4dd4-99a3-4ccfa0ae7887,Jeffrey Davis,Australia,Toys,Animal,6,37.17,16.78,Christina Thompson,PayPal,Pending,185.6,64.58,2019-01,2019,223.02
309c6d54-7d7f-4b0d-8810-d307d21a2261,2019-01-13,60823426-df1d-4db7-acec-2ab59d60a3f7,Natalie Henry,North America,Books,Be,6,155.51,0.01,Christina Thompson,PayPal,Completed,932.97,324.63,2019-01,2019,933.06
de5aafe0-47ac-482f-a5d2-ad842c476f24,2019-01-13,ff69e664-7742-4ba2-b994-bde3c6bf4bd8,Caitlyn Thompson,North America,Beauty,Full,5,443.27,0.77,Roger Brown,Amazon Pay,Returned,2199.28,765.25,2019-01,2019,2216.35
cc6c13f8-1ef3-4711-97f6-7e3ae8b82401,2019-01-14,012a177c-acf0-4faa-9a2a-312d09ef5f83,Brandon Lucas,North America,Home & Kitchen,Crime,7,255.26,13.22,Crystal Williams,Amazon Pay,Returned,1550.6,539.54,2019-01,2019,1786.82
60978bd9-93ce-4bba-87b4-f3923f7b5528,2019-01-14,4f1ae849-cf84-4ab2-a0ec-9e67de881f0d,Phillip Gonzalez,Australia,Clothing,Seven,8,222.88,20.56,Caitlyn Boyd,Gift Card,Completed,1416.45,492.86,2019-01,2019,1783.04
15db83a2-9ae9-4797-8f8c-f7f4c2eb95be,2019-01-14,1dc94815-f0f6-4d41-b59c-8d9d8da78ae0,Kelly Smith,North America,Clothing,With,5,445.69,23.18,Caitlyn Boyd,Debit Card,Completed,1711.9,595.66,2019-01,2019,2228.45
4df01473-1e30-4061-aae9-fe1a097ca22f,2019-01-15,e5e091c9-93f5-482b-81b1-56b6bc7e93de,Frank Knight,Europe,Clothing,Goal,2,163.89,2.67,Caleb Camacho,PayPal,Completed,319.03,111.01,2019-01,2019,327.78
f4da993f-e7d9-451a-9e2e-8e46619bf058,2019-01-16,c13fe98e-3295-40be-96dd-f356959e22ad,Cheryl Lopez,South America,Sports,Story,2,73.53,17.41,Michelle Andersen,Credit Card,Cancelled,121.46,42.26,2019-01,2019,147.06
c2e0f755-1d8e-4ced-9947-fbccc784a206,2019-01-17,4930b813-adf3-49a5-8fd2-869b7e5e7238,David Riley,Asia,Home & Kitchen,Magazine,8,121.29,15.27,Jason Nelson,Debit Card,Returned,822.15,286.07,2019-01,2019,970.32
8e2b3fde-8369-44b6-8440-e9f05b8982ba,2019-01-17,d2ce9b65-82ff-4d7e-a487-19ee4f7a636d,Vanessa Briggs,Europe,Clothing,Green,4,242.59,9.11,Charles Smith,Credit Card,Cancelled,881.96,306.88,2019-01,2019,970.36
8e9382a0-9751-44ec-a09a-90f31210e1ad,2019-01-18,b4e47db8-8880-4238-82c7-76a4d7b42310,Heather Lopez,South America,Home & Kitchen,We,9,235.4,22.53,Susan Edwards,Debit Card,Pending,1641.28,571.09,2019-01,2019,2118.6
36d7ad8f-2ab1-41f4-b4ca-f386a8386622,2019-01-18,f00d98d9-0c6f-4ef7-8fd4-31c2e3b6660e,Anthony Johnson,Australia,Clothing,Agreement,3,487.67,9.39,Susan Edwards,Gift Card,Cancelled,1325.63,461.26,2019-01,2019,1463.01
8d37249f-1477-476f-926c-0bc457f52ccc,2019-01-19,47522774-730e-44d7-b0f2-8ad92fa4161f,Wayne Franco,South America,Beauty,Listen,10,367.09,8.9,Roger Brown,Gift Card,Returned,3344.19,1163.63,2019-01,2019,3670.8999999999996
114f59b6-2c9b-4691-a302-1db3307d6735,2019-01-19,9db24e75-030b-4dac-a981-4f5292c37e39,Bruce Parrish,Australia,Toys,Claim,8,139.17,18.39,Roger Brown,Amazon Pay,Returned,908.61,316.15,2019-01,2019,1113.36
3dc6e8db-bbe7-4ff1-b82e-3112d3443fd0,2019-01-20,21b01c3d-ffda-4f0a-9af9-5c56b5262890,Breanna Lee,North America,Sports,Avoid,7,90.92,18.73,Sandra Luna,Gift Card,Returned,517.23,179.97,2019-01,2019,636.44
68ae6bed-fdb7-43b6-94b0-76563d485f26,2019-01-20,80fbe95d-3a8c-4b67-b2d9-4987117c0327,Jenny Mitchell,Australia,Electronics,Attorney,3,67.42,6.27,Roger Brown,Gift Card,Returned,189.58,65.97,2019-01,2019,202.26
ae6bbfc2-9aa9-48c1-94e9-819fbfffdaf0,2019-01-21,1c4b4921-dd00-40cb-b9af-3507843869c4,Jon Hayes,South America,Sports,Bill,5,432.53,22.84,Sandra Luna,Gift Card,Pending,1668.7,580.63,2019-01,2019,2162.6499999999996
41b2ec45-1058-4c30-9ea6-fd324ae8fd2e,2019-01-21,8050d664-2709-4144-946c-03ca835103d4,Amber Bush MD,Asia,Books,Moment,6,351.13,22.5,Charles Smith,Gift Card,Completed,1632.75,568.12,2019-01,2019,2106.7799999999997
febc8ee1-a99a-433d-9801-3122a9aa16e0,2019-01-21,6c741970-a178-4b03-b450-620c8525599c,Scott Peterson,North America,Toys,Almost,6,336.37,24.13,Joseph Brooks,Amazon Pay,Completed,1531.22,532.79,2019-01,2019,2018.22
ba2c6db2-cd2b-4631-8d79-9b9dce0466ed,2019-01-22,5347cda2-fbc8-4afd-af59-3d2b146250c0,Julie Anderson,Australia,Electronics,Bank,3,284.19,5.49,Christina Thompson,Debit Card,Pending,805.76,280.37,2019-01,2019,852.5699999999999
4e1ddb4d-0bd8-4044-8de8-a8afb0e75396,2019-01-23,a51488ff-5f6a-410f-a490-33abe72ff52f,Michele Castaneda,North America,Books,Picture,1,347.63,4.51,Diane Andrews,Amazon Pay,Pending,331.95,115.5,2019-01,2019,347.63
